sdfgdsg,,,,,,,,,,,,,,
 System,Band,Test Item,Ch,Cell Power,Lower,Upper,Unit,Result,Judgement,,,,,
 LTE-FDD,5,6.6.2.3-EUTRA @-10MHZ;10MHZ;QPSK-FRB,20600,-57.2,None,-29.2,dB,-42.22,PASS,Margin(-16.01),,,,
 LTE-FDD,5,6.6.2.3-EUTRA @ 10MHZ;10MHZ;QPSK-FRB,20600,-57.2,None,-29.2,dB,-45.55,PASS,Margin(-17.29),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-12.5MHZ;10MHZ;QPSK-FRB,20600,-57.2,None,-35.2,dB,-48.81,PASS,Margin(-18.44),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-7.5MHZ;10MHZ;QPSK-FRB,20600,-57.2,None,-32.2,dB,-43.98,PASS,Margin(-11.25),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 7.5MHZ;10MHZ;QPSK-FRB,20600,-57.2,None,-32.2,dB,-46.07,PASS,Margin(-16.39),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 12.5MHZ;10MHZ;QPSK-FRB,20600,-57.2,None,-35.2,dB,-61.05,PASS,Margin(-18.91),,,,
 LTE-FDD,5,6.6.2.3 Adjacent Channel Power;10MHZ;16QAM-PRB@0,20600,-57.2,None,None,dB,24.17,PASS,Margin(-18.05),,,,
 LTE-FDD,5,6.6.2.3-EUTRA @-10MHZ;10MHZ;16QAM-PRB@0,20600,-57.2,None,-29.2,dB,-40.81,PASS,Margin(-9.31),,,,
 LTE-FDD,5,6.6.2.3-EUTRA @ 10MHZ;10MHZ;16QAM-PRB@0,20600,-57.2,None,-29.2,dB,-55.93,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-12.5MHZ;10MHZ;16QAM-PRB@0,20600,-57.2,None,-35.2,dB,-57.16,PASS,Margin(-9.64),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-7.5MHZ;10MHZ;16QAM-PRB@0,20600,-57.2,None,-32.2,dB,-41.32,PASS,Margin(-13.98),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 7.5MHZ;10MHZ;16QAM-PRB@0,20600,-57.2,None,-32.2,dB,-58.29,PASS,Margin(-22.83),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 12.5MHZ;10MHZ;16QAM-PRB@0,20600,-57.2,None,-35.2,dB,-61.38,PASS,Margin(-13.43),,,,
 LTE-FDD,5,6.6.2.3 Adjacent Channel Power;10MHZ;16QAM-PRB@Max,20600,-57.2,None,None,dB,24.28,PASS,Margin(-32.31),,,,
 LTE-FDD,5,6.6.2.3-EUTRA @-10MHZ;10MHZ;16QAM-PRB@Max,20600,-57.2,None,-29.2,dB,-53.48,PASS,Margin(-27.19),,,,
 LTE-FDD,5,6.6.2.3-EUTRA @ 10MHZ;10MHZ;16QAM-PRB@Max,20600,-57.2,None,-29.2,dB,-41.7,PASS,Margin(-24.10),,,,
